Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 9
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4872, 0.4177, 15.47, 1173.74
2, 0.2717, 0.2940, 15.34, 1173.74
3, 0.2063, 0.2226, 15.36, 1173.74
4, 0.1799, 0.1683, 15.32, 1173.74
5, 0.1654, 0.1683, 15.33, 1173.74
6, 0.1490, 0.1628, 15.51, 1173.74
7, 0.1408, 0.1751, 15.35, 1173.74
8, 0.1321, 0.1556, 15.32, 1173.74
9, 0.1201, 0.1545, 15.35, 1173.74
10, 0.1147, 0.1323, 15.50, 1173.74
11, 0.1087, 0.1264, 15.36, 1173.74
12, 0.1080, 0.1330, 15.35, 1173.74
13, 0.0979, 0.1228, 15.40, 1173.74
14, 0.0961, 0.1274, 15.48, 1173.74
15, 0.0876, 0.1168, 15.36, 1173.74
16, 0.0851, 0.1111, 15.55, 1173.74
17, 0.0787, 0.1094, 15.33, 1173.74
18, 0.0790, 0.1084, 15.33, 1173.74
19, 0.0770, 0.1122, 15.37, 1173.74
20, 0.0735, 0.1109, 15.44, 1173.74
21, 0.0703, 0.1009, 15.35, 1173.74
22, 0.0675, 0.1029, 15.40, 1173.74
23, 0.0669, 0.1008, 15.46, 1173.74
24, 0.0654, 0.0981, 15.36, 1173.74
25, 0.0624, 0.0977, 15.51, 1173.74
26, 0.0584, 0.0975, 15.56, 1173.74
27, 0.0561, 0.0949, 15.54, 1173.74
28, 0.0543, 0.0948, 15.37, 1173.74
29, 0.0550, 0.0934, 15.54, 1173.74
30, 0.0525, 0.0926, 15.38, 1173.74
31, 0.0516, 0.0941, 15.48, 1173.74
32, 0.0491, 0.0926, 15.33, 1173.74
33, 0.0484, 0.0915, 15.33, 1173.74
34, 0.0467, 0.0902, 15.33, 1173.74
35, 0.0461, 0.0882, 15.49, 1173.74
36, 0.0515, 0.1018, 15.36, 1173.74
37, 0.0455, 0.0957, 15.36, 1173.74
38, 0.0440, 0.0904, 15.42, 1173.74
39, 0.0428, 0.0893, 15.36, 1173.74
40, 0.0417, 0.0891, 15.41, 1173.74

Total Training Time: 837.82s
