Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 7
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.6719, 0.6436, 15.30, 1173.49
2, 0.3885, 0.5875, 15.25, 1174.61
3, 0.3016, 0.4092, 15.27, 1173.49
4, 0.2683, 0.3187, 15.27, 1174.61
5, 0.2334, 0.3383, 15.43, 1173.49
6, 0.2362, 0.2953, 15.28, 1174.61
7, 0.2070, 0.2682, 16.10, 1173.49
8, 0.1851, 0.2757, 15.74, 1174.61
9, 0.1901, 0.3052, 15.68, 1173.49
10, 0.1710, 0.2407, 15.68, 1174.61
11, 0.1612, 0.2453, 15.81, 1173.49
12, 0.1626, 0.3330, 15.67, 1174.61
13, 0.1451, 0.2519, 15.69, 1173.49
14, 0.1417, 0.1635, 15.69, 1174.61
15, 0.1265, 0.2026, 15.89, 1173.49
16, 0.1319, 0.1593, 16.30, 1174.61
17, 0.1173, 0.2255, 15.72, 1173.49
18, 0.1191, 0.1828, 15.71, 1174.61
19, 0.1139, 0.2522, 15.68, 1173.49
20, 0.1046, 0.1573, 15.69, 1174.61
21, 0.1043, 0.1700, 15.68, 1173.49
22, 0.1010, 0.1659, 15.69, 1174.61
23, 0.0969, 0.1403, 15.68, 1173.49
24, 0.0964, 0.1507, 15.67, 1174.61
25, 0.0891, 0.1552, 15.73, 1173.49
26, 0.0838, 0.1319, 15.70, 1174.61
27, 0.0813, 0.1286, 15.67, 1173.49
28, 0.0776, 0.1247, 15.71, 1174.61
29, 0.0804, 0.1464, 15.71, 1173.49
30, 0.0708, 0.1304, 15.71, 1174.61
31, 0.0730, 0.1208, 15.72, 1173.49
32, 0.0707, 0.1192, 15.68, 1174.61
33, 0.0656, 0.1142, 15.71, 1173.49
34, 0.0660, 0.1260, 15.69, 1174.61
35, 0.0642, 0.1194, 15.77, 1173.49
36, 0.0629, 0.1214, 15.68, 1174.61
37, 0.0610, 0.1101, 15.80, 1173.49
38, 0.0609, 0.1126, 15.68, 1174.61
39, 0.0586, 0.1150, 15.82, 1173.49
40, 0.0571, 0.1195, 15.70, 1174.61
41, 0.0548, 0.1264, 15.69, 1173.49
42, 0.0530, 0.1067, 15.69, 1174.61
43, 0.0509, 0.1054, 15.72, 1173.49
44, 0.0524, 0.1074, 15.68, 1174.61
45, 0.0509, 0.1109, 15.68, 1173.49
46, 0.0475, 0.1107, 15.69, 1174.61
47, 0.0463, 0.1039, 15.73, 1173.49
48, 0.0471, 0.1039, 15.85, 1174.61
49, 0.0446, 0.1020, 15.70, 1173.49
50, 0.0509, 0.1125, 15.69, 1174.61
51, 0.0482, 0.1094, 15.69, 1173.49
52, 0.0436, 0.1058, 15.82, 1174.61
53, 0.0432, 0.1116, 15.68, 1173.49
54, 0.0426, 0.1104, 15.74, 1174.61

Total Training Time: 1138.29s
