Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 5
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.5663, 0.5592, 7.79, 1173.61
2, 0.4451, 0.4395, 7.79, 1174.73
3, 0.3063, 0.3376, 7.85, 1173.12
4, 0.2342, 0.2574, 7.86, 1173.61
5, 0.2030, 0.2604, 7.84, 1174.73
6, 0.1784, 0.2271, 7.79, 1173.12
7, 0.1640, 0.2101, 7.79, 1173.61
8, 0.1525, 0.1985, 7.79, 1174.73
9, 0.1442, 0.1984, 7.83, 1173.12
10, 0.1365, 0.1903, 7.86, 1173.61
11, 0.1370, 0.1902, 7.79, 1174.73
12, 0.1320, 0.1780, 7.84, 1173.12
13, 0.1272, 0.1788, 7.79, 1173.61
14, 0.1208, 0.1817, 7.79, 1174.73
15, 0.1148, 0.1730, 7.79, 1173.12
16, 0.1114, 0.1676, 7.79, 1173.61
17, 0.1123, 0.1704, 7.85, 1174.73
18, 0.1097, 0.1678, 7.80, 1173.12
19, 0.1036, 0.1608, 7.79, 1173.61
20, 0.0997, 0.1627, 7.98, 1174.73
21, 0.0954, 0.1579, 7.57, 1173.12
22, 0.0919, 0.1552, 7.57, 1173.61
23, 0.0899, 0.1534, 7.57, 1174.73
24, 0.0879, 0.1526, 7.56, 1173.12
25, 0.0862, 0.1510, 7.63, 1173.61
26, 0.0830, 0.1514, 7.58, 1174.73
27, 0.0810, 0.1480, 7.56, 1173.12
28, 0.0783, 0.1480, 7.57, 1173.61
29, 0.0779, 0.1477, 7.64, 1174.73
30, 0.0764, 0.1447, 7.63, 1173.12
31, 0.0757, 0.1463, 7.63, 1173.61
32, 0.0737, 0.1429, 7.56, 1174.73
33, 0.0706, 0.1421, 7.56, 1173.12
34, 0.0741, 0.1511, 7.56, 1173.61
35, 0.0678, 0.1402, 7.55, 1174.73
36, 0.0660, 0.1440, 7.57, 1173.12
37, 0.0648, 0.1404, 7.56, 1173.61
38, 0.0637, 0.1435, 7.56, 1174.73
39, 0.0621, 0.1344, 7.56, 1173.12
40, 0.0615, 0.1427, 7.56, 1173.61
41, 0.0604, 0.1363, 7.55, 1174.73
42, 0.0608, 0.1343, 7.56, 1173.12
43, 0.0592, 0.1330, 7.56, 1173.61
44, 0.0584, 0.1401, 7.57, 1174.73
45, 0.0567, 0.1403, 7.56, 1173.12
46, 0.0573, 0.1314, 7.56, 1173.61
47, 0.0542, 0.1305, 7.65, 1174.73
48, 0.0534, 0.1312, 7.64, 1173.12
49, 0.0522, 0.1341, 7.56, 1173.61
50, 0.0507, 0.1361, 7.56, 1174.73
51, 0.0526, 0.1379, 7.56, 1173.12
52, 0.0520, 0.1441, 7.59, 1173.61

Total Training Time: 811.46s
