Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4143, 0.2089, 31.61, 1064.48
2, 0.2109, 0.1828, 31.00, 1064.48
3, 0.1829, 0.1593, 31.68, 1064.48
4, 0.1613, 0.1391, 32.62, 1064.48
5, 0.1417, 0.1258, 31.25, 1064.48
6, 0.1272, 0.1089, 31.38, 1064.48
7, 0.1198, 0.1077, 31.05, 1064.48
8, 0.1028, 0.0938, 32.41, 1064.48
9, 0.0973, 0.0899, 31.95, 1064.48
10, 0.0902, 0.0858, 31.56, 1064.48
11, 0.0850, 0.0800, 31.95, 1064.48
12, 0.0797, 0.0787, 31.26, 1064.48
13, 0.0771, 0.0724, 30.99, 1064.48
14, 0.0731, 0.0731, 31.57, 1064.48
15, 0.0689, 0.0720, 31.72, 1064.48
16, 0.0644, 0.0647, 31.56, 1064.48
17, 0.0626, 0.0637, 32.03, 1064.48
18, 0.0591, 0.0632, 31.93, 1064.48
19, 0.0563, 0.0623, 31.57, 1064.48
20, 0.0542, 0.0597, 31.36, 1064.48
21, 0.0542, 0.0595, 31.47, 1064.48
22, 0.0517, 0.0580, 31.76, 1064.48
23, 0.0499, 0.0576, 31.72, 1064.48
24, 0.0491, 0.0581, 31.16, 1064.48
25, 0.0466, 0.0572, 31.02, 1064.48
26, 0.0449, 0.0552, 31.75, 1064.48
27, 0.0443, 0.0570, 31.48, 1064.48
28, 0.0425, 0.0552, 31.08, 1064.48
29, 0.0411, 0.0542, 31.56, 1064.48
30, 0.0402, 0.0562, 31.83, 1064.48
31, 0.0399, 0.0567, 32.18, 1064.48
32, 0.0383, 0.0537, 32.03, 1064.48
33, 0.0377, 0.0546, 31.50, 1064.48
34, 0.0374, 0.0542, 32.28, 1064.48
35, 0.0362, 0.0548, 31.49, 1064.48
36, 0.0350, 0.0542, 31.37, 1064.48
37, 0.0349, 0.0537, 31.08, 1064.48
38, 0.0338, 0.0556, 31.17, 1064.48
39, 0.0330, 0.0553, 31.60, 1064.48
40, 0.0323, 0.0549, 31.97, 1064.48
41, 0.0316, 0.0531, 31.42, 1064.48
42, 0.0310, 0.0540, 31.09, 1064.48
43, 0.0309, 0.0545, 31.88, 1064.48
44, 0.0305, 0.0530, 30.88, 1064.48
45, 0.0302, 0.0526, 31.33, 1064.48
46, 0.0300, 0.0515, 31.16, 1064.48
47, 0.0288, 0.0530, 31.13, 1064.48
48, 0.0289, 0.0517, 31.12, 1064.48
49, 0.0278, 0.0514, 31.04, 1064.48
50, 0.0272, 0.0526, 31.13, 1064.48
51, 0.0272, 0.0551, 31.70, 1064.48
52, 0.0271, 0.0528, 31.63, 1064.48
53, 0.0272, 0.0540, 31.75, 1064.48
54, 0.0297, 0.0543, 31.25, 1064.48

Total Training Time: 1838.53s
