Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 3
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.6211, 0.5328, 16.39, 1180.97
2, 0.2882, 0.2409, 16.41, 1180.00
3, 0.2190, 0.2336, 16.43, 1180.97
4, 0.1996, 0.2194, 16.47, 1180.00
5, 0.1878, 0.2193, 16.43, 1180.97
6, 0.1655, 0.1882, 16.35, 1180.00
7, 0.1569, 0.1922, 16.26, 1180.97
8, 0.1423, 0.1680, 16.22, 1180.00
9, 0.1349, 0.1731, 15.88, 1180.97
10, 0.1302, 0.1542, 15.79, 1180.00
11, 0.1229, 0.1581, 15.87, 1180.97
12, 0.1176, 0.1487, 15.80, 1180.00
13, 0.1088, 0.1551, 15.89, 1180.97
14, 0.1057, 0.1391, 16.42, 1180.00
15, 0.1001, 0.1309, 15.75, 1180.97
16, 0.0968, 0.1255, 15.75, 1180.00
17, 0.0886, 0.1229, 15.76, 1180.97
18, 0.0860, 0.1212, 15.91, 1180.00
19, 0.0817, 0.1199, 15.89, 1180.97
20, 0.0933, 0.1171, 15.78, 1180.00
21, 0.0797, 0.1179, 15.78, 1180.97
22, 0.0752, 0.1147, 15.75, 1180.00
23, 0.0770, 0.1228, 15.84, 1180.97
24, 0.0684, 0.1090, 15.79, 1180.00
25, 0.0688, 0.1081, 15.86, 1180.97
26, 0.0640, 0.1094, 15.91, 1180.00
27, 0.0636, 0.1080, 15.76, 1180.97
28, 0.0614, 0.1043, 15.89, 1180.00
29, 0.0581, 0.1032, 15.89, 1180.97
30, 0.0574, 0.1014, 15.79, 1180.00
31, 0.0551, 0.1039, 15.77, 1180.97
32, 0.0541, 0.1024, 15.89, 1180.00
33, 0.0525, 0.1002, 15.77, 1180.97
34, 0.0521, 0.0991, 15.88, 1180.00
35, 0.0497, 0.1002, 15.82, 1180.97
36, 0.0486, 0.0990, 15.76, 1180.00
37, 0.0479, 0.1015, 15.77, 1180.97
38, 0.0462, 0.1002, 15.78, 1180.00
39, 0.0443, 0.1017, 15.81, 1180.97
40, 0.0436, 0.0984, 15.81, 1180.00
41, 0.0428, 0.0935, 15.79, 1180.97
42, 0.0418, 0.0975, 15.76, 1180.00
43, 0.0414, 0.0996, 15.77, 1180.97
44, 0.0395, 0.0949, 15.77, 1180.00
45, 0.0386, 0.0954, 15.78, 1180.97
46, 0.0383, 0.0953, 15.77, 1180.00

Total Training Time: 991.59s
