Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 6
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.6727, 0.8842, 15.34, 1175.46
2, 0.3883, 0.6517, 15.26, 1175.46
3, 0.3036, 0.4060, 15.31, 1175.46
4, 0.2648, 0.3697, 15.34, 1175.46
5, 0.2431, 0.3608, 15.27, 1175.46
6, 0.2211, 0.3535, 15.27, 1175.46
7, 0.2020, 0.2518, 15.41, 1175.46
8, 0.2071, 0.2427, 15.27, 1175.46
9, 0.1963, 0.2391, 15.39, 1175.46
10, 0.1654, 0.1969, 15.33, 1175.46
11, 0.1781, 0.2377, 15.37, 1175.46
12, 0.1508, 0.1940, 15.62, 1175.46
13, 0.1491, 0.1786, 15.93, 1175.46
14, 0.1355, 0.1653, 15.68, 1175.46
15, 0.1308, 0.1571, 15.67, 1175.46
16, 0.1280, 0.1609, 15.67, 1175.46
17, 0.1169, 0.1719, 15.72, 1175.46
18, 0.1075, 0.1500, 15.68, 1175.46
19, 0.1050, 0.1587, 15.69, 1175.46
20, 0.1030, 0.1462, 15.69, 1175.46
21, 0.1019, 0.1365, 15.72, 1175.46
22, 0.0966, 0.1399, 15.82, 1175.46
23, 0.0917, 0.1321, 15.68, 1175.46
24, 0.0933, 0.1297, 15.68, 1175.46
25, 0.0879, 0.1237, 15.70, 1175.46
26, 0.0800, 0.1206, 15.70, 1175.46
27, 0.0840, 0.1229, 15.70, 1175.46
28, 0.0782, 0.1165, 15.69, 1175.46
29, 0.0758, 0.1141, 15.70, 1175.46
30, 0.0749, 0.1172, 15.67, 1175.46
31, 0.0704, 0.1122, 15.67, 1175.46
32, 0.0687, 0.1100, 15.78, 1175.46
33, 0.0644, 0.1080, 15.68, 1175.46
34, 0.0654, 0.1111, 15.67, 1175.46
35, 0.0663, 0.1125, 15.67, 1175.46
36, 0.0614, 0.1074, 15.74, 1175.46
37, 0.0614, 0.1076, 15.66, 1175.46
38, 0.0617, 0.1098, 15.68, 1175.46
39, 0.0569, 0.1043, 15.72, 1175.46
40, 0.0560, 0.1011, 15.76, 1175.46
41, 0.0529, 0.0994, 15.68, 1175.46
42, 0.0540, 0.1039, 15.68, 1175.46
43, 0.0505, 0.1015, 15.68, 1175.46
44, 0.0504, 0.1007, 15.70, 1175.46
45, 0.0489, 0.0990, 15.70, 1175.46
46, 0.0494, 0.0985, 15.70, 1175.46
47, 0.0474, 0.0994, 15.73, 1175.46
48, 0.0472, 0.0974, 15.69, 1175.46
49, 0.0455, 0.0973, 15.67, 1175.46
50, 0.0468, 0.0939, 15.67, 1175.46
51, 0.0435, 0.0977, 15.68, 1175.46
52, 0.0427, 0.0949, 15.69, 1175.46
53, 0.0419, 0.0940, 15.69, 1175.46
54, 0.0411, 0.0941, 15.70, 1175.46
55, 0.0393, 0.0954, 15.93, 1175.46

Total Training Time: 1168.49s
