Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4628, 0.2723, 33.34, 1177.69
2, 0.2147, 0.1595, 33.11, 1177.69
3, 0.1732, 0.1492, 33.10, 1177.69
4, 0.1525, 0.1205, 32.09, 1177.69
5, 0.1341, 0.1234, 31.64, 1177.69
6, 0.1280, 0.1037, 31.86, 1177.69
7, 0.1142, 0.0967, 31.66, 1177.69
8, 0.1083, 0.0875, 31.85, 1177.69
9, 0.0998, 0.0908, 31.76, 1177.69
10, 0.0912, 0.0852, 31.91, 1177.69
11, 0.0849, 0.0763, 32.18, 1177.69
12, 0.0865, 0.0807, 33.27, 1177.69
13, 0.0767, 0.0742, 33.44, 1177.69
14, 0.0738, 0.0695, 33.43, 1177.69
15, 0.0706, 0.0718, 33.26, 1177.69
16, 0.0676, 0.0649, 33.20, 1177.69
17, 0.0643, 0.0641, 33.13, 1177.69
18, 0.0628, 0.0644, 33.44, 1177.69
19, 0.0605, 0.0643, 33.51, 1177.69
20, 0.0577, 0.0626, 33.53, 1177.69
21, 0.0560, 0.0634, 33.57, 1177.69
22, 0.0534, 0.0594, 33.37, 1177.69
23, 0.0513, 0.0577, 33.45, 1177.69
24, 0.0502, 0.0587, 33.47, 1177.69
25, 0.0534, 0.0628, 33.37, 1177.69
26, 0.0477, 0.0597, 32.64, 1177.69
27, 0.0467, 0.0578, 31.19, 1177.69
28, 0.0449, 0.0573, 31.30, 1177.69
29, 0.0451, 0.0603, 31.27, 1177.69
30, 0.0430, 0.0550, 31.25, 1177.69
31, 0.0426, 0.0559, 31.05, 1177.69
32, 0.0410, 0.0561, 31.19, 1177.69
33, 0.0395, 0.0555, 31.10, 1177.69
34, 0.0393, 0.0554, 31.19, 1177.69
35, 0.0377, 0.0540, 31.28, 1177.69
36, 0.0366, 0.0550, 31.19, 1177.69
37, 0.0367, 0.0539, 31.19, 1177.69
38, 0.0359, 0.0522, 31.24, 1177.69
39, 0.0346, 0.0535, 31.39, 1177.69
40, 0.0349, 0.0534, 30.98, 1177.69
41, 0.0337, 0.0517, 31.25, 1177.69
42, 0.0331, 0.0514, 31.20, 1177.69
43, 0.0325, 0.0556, 31.15, 1177.69
44, 0.0315, 0.0523, 31.27, 1177.69
45, 0.0315, 0.0552, 31.13, 1177.69
46, 0.0309, 0.0512, 31.10, 1177.69
47, 0.0301, 0.0550, 31.17, 1177.69
48, 0.0302, 0.0536, 31.22, 1177.69
49, 0.0293, 0.0536, 31.14, 1177.69
50, 0.0290, 0.0543, 31.12, 1177.69
51, 0.0283, 0.0544, 31.22, 1177.69

Total Training Time: 1764.87s
