Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 9
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.8295, 0.8232, 7.57, 1174.96
2, 0.5174, 0.4843, 7.56, 1174.59
3, 0.3380, 0.3452, 7.57, 1176.71
4, 0.2654, 0.3034, 7.57, 1174.96
5, 0.2353, 0.2648, 7.57, 1174.59
6, 0.2151, 0.2530, 7.56, 1176.71
7, 0.2001, 0.2471, 7.58, 1174.96
8, 0.1859, 0.2330, 7.56, 1174.59
9, 0.1888, 0.2282, 7.56, 1176.71
10, 0.1737, 0.2200, 7.64, 1174.96
11, 0.1643, 0.2189, 7.63, 1174.59
12, 0.1606, 0.2138, 7.65, 1176.71
13, 0.1551, 0.2152, 7.58, 1174.96
14, 0.1494, 0.2089, 7.55, 1174.59
15, 0.1425, 0.2044, 7.64, 1176.71
16, 0.1381, 0.1986, 7.57, 1174.96
17, 0.1360, 0.1986, 7.57, 1174.59
18, 0.1324, 0.1966, 7.56, 1176.71
19, 0.1268, 0.1917, 7.56, 1174.96
20, 0.1223, 0.1906, 7.56, 1174.59
21, 0.1184, 0.1868, 7.61, 1176.71
22, 0.1139, 0.1815, 7.59, 1174.96
23, 0.1114, 0.1818, 7.60, 1174.59
24, 0.1085, 0.1791, 7.56, 1176.71
25, 0.1063, 0.1767, 7.65, 1174.96
26, 0.1056, 0.1754, 7.57, 1174.59
27, 0.1050, 0.1739, 7.58, 1176.71
28, 0.0993, 0.1678, 7.62, 1174.96
29, 0.0993, 0.1670, 7.56, 1174.59
30, 0.0946, 0.1641, 7.57, 1176.71
31, 0.0934, 0.1681, 7.58, 1174.96
32, 0.0894, 0.1668, 7.62, 1174.59
33, 0.0875, 0.1643, 7.56, 1176.71
34, 0.0851, 0.1657, 7.62, 1174.96
35, 0.0831, 0.1618, 7.56, 1174.59
36, 0.0825, 0.1629, 7.57, 1176.71
37, 0.0809, 0.1602, 7.57, 1174.96
38, 0.0796, 0.1588, 7.57, 1174.59
39, 0.0785, 0.1598, 7.57, 1176.71
40, 0.0757, 0.1588, 7.56, 1174.96
41, 0.0738, 0.1605, 7.57, 1174.59
42, 0.0729, 0.1571, 7.55, 1176.71
43, 0.0715, 0.1604, 7.56, 1174.96
44, 0.0703, 0.1596, 7.56, 1174.59
45, 0.0700, 0.1600, 7.56, 1176.71
46, 0.0668, 0.1572, 7.56, 1174.96
47, 0.0664, 0.1532, 7.56, 1174.59
48, 0.0666, 0.1534, 7.57, 1176.71
49, 0.0647, 0.1567, 7.55, 1174.96
50, 0.0632, 0.1496, 7.56, 1174.59
51, 0.0615, 0.1630, 7.57, 1176.71
52, 0.0605, 0.1629, 7.56, 1174.96
53, 0.0600, 0.1568, 7.56, 1174.59
54, 0.0597, 0.1594, 7.56, 1176.71
55, 0.0598, 0.1513, 7.56, 1174.96

Total Training Time: 850.92s
