Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 2
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.5793, 0.5746, 7.86, 1177.89
2, 0.4631, 0.5648, 7.87, 1176.03
3, 0.3101, 0.4036, 7.86, 1178.26
4, 0.2208, 0.2593, 7.89, 1177.15
5, 0.1814, 0.2364, 7.89, 1176.51
6, 0.1746, 0.2337, 7.83, 1176.90
7, 0.1608, 0.2076, 7.89, 1177.89
8, 0.1593, 0.2237, 7.88, 1176.03
9, 0.1450, 0.1867, 7.89, 1178.26
10, 0.1387, 0.1845, 7.85, 1177.15
11, 0.1365, 0.1938, 7.91, 1176.51
12, 0.1280, 0.1749, 7.84, 1176.90
13, 0.1276, 0.1855, 7.85, 1177.89
14, 0.1209, 0.1733, 7.88, 1176.03
15, 0.1195, 0.1667, 7.89, 1178.26
16, 0.1149, 0.1687, 7.85, 1177.15
17, 0.1080, 0.1678, 7.82, 1176.51
18, 0.1088, 0.1634, 7.88, 1176.90
19, 0.1051, 0.1624, 7.83, 1177.89
20, 0.1087, 0.1578, 7.84, 1176.03
21, 0.0973, 0.1538, 7.87, 1178.26
22, 0.0965, 0.1551, 7.92, 1177.15
23, 0.0921, 0.1515, 7.88, 1176.51
24, 0.0909, 0.1485, 7.76, 1176.90
25, 0.0896, 0.1472, 7.70, 1177.89
26, 0.0855, 0.1442, 7.71, 1176.03
27, 0.0827, 0.1442, 7.70, 1178.26
28, 0.0808, 0.1437, 7.62, 1177.15
29, 0.0784, 0.1404, 7.61, 1176.51
30, 0.0768, 0.1409, 7.73, 1176.90
31, 0.0752, 0.1385, 7.62, 1177.89
32, 0.0721, 0.1376, 7.69, 1176.03
33, 0.0708, 0.1379, 7.71, 1178.26
34, 0.0707, 0.1350, 7.68, 1177.15
35, 0.0692, 0.1403, 7.70, 1176.51
36, 0.0671, 0.1362, 7.62, 1176.90
37, 0.0656, 0.1340, 7.68, 1177.89
38, 0.0650, 0.1344, 7.70, 1176.03
39, 0.0627, 0.1308, 7.61, 1178.26
40, 0.0618, 0.1346, 7.63, 1177.15
41, 0.0601, 0.1328, 7.60, 1176.51
42, 0.0594, 0.1341, 7.69, 1176.90
43, 0.0588, 0.1299, 7.66, 1177.89
44, 0.0596, 0.1314, 7.62, 1176.03
45, 0.0561, 0.1351, 7.68, 1178.26
46, 0.0560, 0.1353, 7.62, 1177.15
47, 0.0560, 0.1306, 7.61, 1176.51
48, 0.0541, 0.1287, 7.68, 1176.90
49, 0.0517, 0.1283, 7.63, 1177.89
50, 0.0513, 0.1311, 7.68, 1176.03
51, 0.0503, 0.1262, 7.61, 1178.26
52, 0.0495, 0.1283, 7.61, 1177.15
53, 0.0505, 0.1292, 7.61, 1176.51
54, 0.0476, 0.1321, 7.61, 1176.90
55, 0.0470, 0.1325, 7.61, 1177.89
56, 0.0469, 0.1256, 7.68, 1176.03
57, 0.0458, 0.1287, 7.72, 1178.26
58, 0.0450, 0.1215, 7.69, 1177.15
59, 0.0446, 0.1264, 7.61, 1176.51
60, 0.0445, 0.1321, 7.62, 1176.90
61, 0.0440, 0.1281, 7.61, 1177.89
62, 0.0427, 0.1314, 7.62, 1176.03
63, 0.0421, 0.1310, 7.68, 1178.26

Total Training Time: 997.02s
