Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 2
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.5497, 0.5989, 15.91, 1176.03
2, 0.2825, 0.2876, 15.81, 1177.15
3, 0.2036, 0.2137, 15.78, 1176.90
4, 0.1812, 0.1870, 16.02, 1176.03
5, 0.1654, 0.1920, 15.75, 1177.15
6, 0.1570, 0.1826, 15.54, 1176.90
7, 0.1479, 0.1763, 15.56, 1176.03
8, 0.1363, 0.1576, 16.09, 1177.15
9, 0.1254, 0.1631, 15.87, 1176.90
10, 0.1271, 0.1545, 15.87, 1176.03
11, 0.1123, 0.1523, 16.01, 1177.15
12, 0.1084, 0.1454, 16.07, 1176.90
13, 0.1028, 0.1383, 15.81, 1176.03
14, 0.1005, 0.1408, 15.97, 1177.15
15, 0.0935, 0.1297, 15.93, 1176.90
16, 0.0909, 0.1323, 15.95, 1176.03
17, 0.0847, 0.1317, 16.03, 1177.15
18, 0.0814, 0.1237, 16.39, 1176.90
19, 0.0785, 0.1226, 16.05, 1176.03
20, 0.0740, 0.1183, 15.89, 1177.15
21, 0.0742, 0.1178, 15.98, 1176.90
22, 0.0713, 0.1172, 16.02, 1176.03
23, 0.0686, 0.1175, 16.00, 1177.15
24, 0.0667, 0.1107, 15.90, 1176.90
25, 0.0631, 0.1137, 15.89, 1176.03
26, 0.0613, 0.1097, 15.87, 1177.15
27, 0.0604, 0.1059, 16.04, 1176.90
28, 0.0572, 0.1067, 16.03, 1176.03
29, 0.0562, 0.1055, 16.31, 1177.15
30, 0.0556, 0.1025, 16.38, 1176.90
31, 0.0550, 0.1042, 15.95, 1176.03
32, 0.0527, 0.1020, 15.82, 1177.15
33, 0.0504, 0.1064, 15.93, 1176.90
34, 0.0482, 0.1021, 16.38, 1176.03
35, 0.0512, 0.1043, 16.24, 1177.15
36, 0.0489, 0.0979, 16.08, 1176.90
37, 0.0466, 0.0970, 16.31, 1176.03
38, 0.0443, 0.1012, 15.99, 1177.15
39, 0.0446, 0.0983, 16.03, 1176.90
40, 0.0431, 0.0951, 16.36, 1176.03
41, 0.0417, 0.0990, 15.95, 1177.15
42, 0.0415, 0.1029, 16.46, 1176.90
43, 0.0412, 0.0939, 16.54, 1176.03
44, 0.0391, 0.0980, 16.60, 1177.15
45, 0.0388, 0.0955, 16.43, 1176.90
46, 0.0372, 0.1009, 16.31, 1176.03
47, 0.0382, 0.0953, 16.54, 1177.15
48, 0.0374, 0.0979, 16.26, 1176.90

Total Training Time: 1041.44s
